Customer ID,Age,Gender,Annual Income,Spending Score,cluster,segment
d410ea53-6661-42a9-ad3a-f554b05fd2a7,30,1,151479,89,1,Budget Shoppers
1770b26f-493f-46b6-837f-4237fb5a314e,58,0,185088,95,3,Savers
e81aa8eb-1767-4b77-87ce-1620dc732c5e,62,0,70912,76,3,Savers
9795712a-ad19-47bf-8886-4f997d6046e3,23,1,55460,57,1,Budget Shoppers
64139426-2226-4cd6-bf09-91bce4b4db5e,24,1,153752,76,1,Budget Shoppers
7e211337-e92f-4140-8231-5c9ac7a2aa12,42,1,158335,40,2,Young Spenders
30661d57-eeb5-4886-970a-9c7d0f260ad8,27,0,163501,37,0,High Value
43417ade-6b17-431e-ae76-d8ed26aa46ac,24,1,70476,17,2,Young Spenders
86f73b1a-6a91-4d7e-ad21-0aefcf6111cc,83,1,47743,34,2,Young Spenders
b20fe0a0-e254-4116-b804-5403bb2f59ea,62,0,63448,3,4,Average Customers
49ba3e9d-a590-4303-b443-e794d0364c11,37,1,170566,75,1,Budget Shoppers
4be5f5b0-83f6-4bd2-9056-18a8d5414066,63,0,89355,80,3,Savers
eb0e4ebc-fcc1-424f-b083-81987583ecc6,25,1,87576,17,2,Young Spenders
caa4ad5a-51b2-4af1-91cb-e2802f620239,32,0,159892,96,3,Savers
0c9d0e0d-a601-488c-9f3f-f036f2bdb536,51,0,135079,87,3,Savers
dc35a079-c3db-44f4-8612-d0af9daea414,64,0,32869,81,3,Savers
b43f995c-c9ab-4c58-8f71-949de233ac71,19,1,198682,82,1,Budget Shoppers
51d7be3e-84c9-464a-85e8-0a95b568d90e,89,1,38708,97,1,Budget Shoppers
8bbbdbbe-7f8a-4c9c-afed-f6969f49e9ac,65,1,87270,3,2,Young Spenders
baa61fc0-4a1f-4210-916b-669d1ec44dbd,26,1,45518,12,2,Young Spenders
05948202-e483-482a-9c02-6a655498002b,21,1,199879,49,1,Budget Shoppers
6d6d557d-41c3-4992-9ef3-f7d113c78649,70,1,163828,36,2,Young Spenders
dd6223b5-5aae-468b-b936-618b513d4e70,24,1,109188,6,2,Young Spenders
9c702610-d6ce-48fe-9857-9e295e161ceb,39,0,48212,36,0,High Value
1fd446a8-109c-4314-92a2-a1e731923744,61,1,141596,45,2,Young Spenders
65348b4f-9170-4edc-b035-cc484416face,19,0,192492,57,0,High Value
c2fd4929-fc3e-423a-8dd9-1fb239ef4de6,79,1,109550,7,2,Young Spenders
eb6d1dfc-5b3a-4ade-8521-71db4659ad13,61,0,38132,15,4,Average Customers
896aef6f-4dc1-4b4a-8805-68ced6971458,73,0,170959,55,4,Average Customers
5963ff82-b2de-453f-bffe-4fed059e18ae,58,1,80731,23,2,Young Spenders
e8db83f2-90bf-410e-bd1a-7c9ee14ca32b,90,0,123085,25,4,Average Customers
59052529-9a68-4936-93db-43cc1d541e84,39,0,135748,95,3,Savers
767f9ffd-7211-4045-a1d0-f700220928dc,35,0,71372,52,0,High Value
ace9492b-bf39-47eb-8f28-6f85b9cc8973,79,1,164259,96,1,Budget Shoppers
cfe0eb40-4892-47fd-ac84-29dbd15f7bd4,57,0,105742,7,4,Average Customers
c5e56dd8-5a20-4bd9-bbc0-97c380553084,76,1,189412,87,1,Budget Shoppers
96892d38-cadf-4409-83d8-1b7a3b37b05a,40,1,64309,62,1,Budget Shoppers
068b3da4-216a-4157-9474-929a1a10cb6d,82,0,84966,66,4,Average Customers
daf07560-6a2e-47af-9c4b-66a63b93ac34,84,0,35701,5,4,Average Customers
b818a1f8-fdff-41a3-b1ca-de3faee17f81,56,0,43376,52,3,Savers
ea4a4765-11a6-433e-8016-110bc0bc5ed5,21,0,118137,43,0,High Value
d5e8bfcc-51e1-44b2-a59d-9174d10efb97,55,1,77165,86,1,Budget Shoppers
d29643f1-551e-4353-a560-cf4e6797e003,24,1,119922,80,1,Budget Shoppers
