customer_id,business_type,location,annual_revenue,order_frequency,total_quantity_purchased,product,quantity
1,Wholesaler,Gulu,12872789,10,8184,Powder Milk,124
2,Retailer,Gulu,55638959,15,5656,Powder Milk,44
3,Wholesaler,Mbale,35140354,4,9228,Milk,168
4,Wholesaler,Gulu,25130537,12,1673,Cream,87
5,Wholesaler,Jinja,75583240,10,7276,Cream,118
6,Retailer,Gulu,18052046,2,772,Cream,57
7,Wholesaler,Jinja,57848820,4,1145,Cheese,62
8,Wholesaler,Gulu,17429890,6,3877,Milk,84
9,Wholesaler,Jinja,93768003,14,4335,Butter,41
10,Retailer,Gulu,41432669,3,1045,Flavored Milk,97
11,Wholesaler,Gulu,26056747,15,5731,Flavored Milk,149
12,Wholesaler,Mbarara,97372244,1,4711,Yogurt,71
13,Wholesaler,Jinja,43316584,19,1042,Yogurt,12
14,Wholesaler,Jinja,64009656,1,2833,Cheese,15
15,Retailer,Jinja,63202093,13,8397,Milk,136
16,Wholesaler,Kampala,19160146,8,5732,Butter,121
17,Retailer,Gulu,42863215,18,6011,Flavored Milk,21
18,Retailer,Jinja,39475070,3,4818,Milk,62
19,Retailer,Kampala,41219071,18,5810,Butter,157
20,Wholesaler,Mbarara,9795684,9,5254,Powder Milk,143
21,Retailer,Jinja,89273149,6,7602,Milk,93
22,Wholesaler,Jinja,72827818,2,8296,Yogurt,151
23,Retailer,Kampala,87053741,4,134,Powder Milk,193
24,Retailer,Gulu,32443475,18,6026,Powder Milk,178
25,Retailer,Mbarara,80972305,7,8197,Flavored Milk,58
26,Retailer,Jinja,20078997,11,7134,Butter,117
27,Retailer,Gulu,42665323,5,2829,Cream,93
28,Retailer,Mbarara,28045201,8,6105,Yogurt,113
29,Retailer,Mbale,62343039,11,2719,Powder Milk,104
30,Retailer,Mbale,45449913,15,1058,Cream,40
31,Wholesaler,Mbarara,85764758,3,2414,Cheese,165
32,Wholesaler,Kampala,25438848,7,3736,Cheese,21
33,Retailer,Mbarara,49166004,8,6818,Yogurt,25
34,Retailer,Mbarara,75074496,11,2249,Butter,172
35,Retailer,Kampala,34323519,10,9601,Butter,53
36,Wholesaler,Kampala,66365157,9,959,Flavored Milk,77
37,Retailer,Gulu,83008550,15,3489,Yogurt,147
38,Wholesaler,Gulu,26974512,5,5932,Cheese,12
39,Wholesaler,Kampala,51150792,15,2963,Yogurt,40
40,Wholesaler,Mbale,52725406,4,4745,Milk,189
41,Wholesaler,Mbale,49637638,5,1056,Butter,125
42,Wholesaler,Mbarara,80997072,15,7164,Powder Milk,14
43,Retailer,Jinja,16995490,17,1193,Milk,14
44,Retailer,Mbarara,31134127,8,7602,Cheese,75
45,Retailer,Mbarara,99342628,19,1274,Butter,24
46,Retailer,Jinja,33536627,9,4545,Cheese,158
47,Retailer,Kampala,37671889,10,8309,Cheese,110
48,Wholesaler,Mbale,45544255,5,9256,Cheese,20
49,Retailer,Mbarara,84757246,10,231,Flavored Milk,51
50,Retailer,Jinja,70195040,1,6382,Cheese,75
51,Wholesaler,Gulu,73702467,4,4996,Cheese,103
52,Retailer,Mbarara,97096598,5,7500,Milk,70
53,Wholesaler,Mbale,56700554,7,2995,Milk,69
54,Retailer,Kampala,74232563,5,8896,Milk,151
55,Wholesaler,Mbarara,35503176,8,3736,Butter,129
56,Retailer,Mbarara,74029695,17,2338,Flavored Milk,142
57,Retailer,Jinja,91690023,1,2881,Butter,40
58,Wholesaler,Gulu,89829060,18,8963,Flavored Milk,57
59,Wholesaler,Gulu,28802443,12,3298,Flavored Milk,41
60,Wholesaler,Kampala,89683198,3,9442,Yogurt,66
61,Wholesaler,Mbale,84840384,14,8551,Powder Milk,171
62,Wholesaler,Kampala,94425166,16,1075,Yogurt,104
63,Wholesaler,Mbarara,99157912,18,4462,Yogurt,164
64,Wholesaler,Mbarara,59023337,10,5952,Flavored Milk,91
65,Wholesaler,Gulu,15627199,15,9774,Flavored Milk,14
66,Retailer,Mbale,83662829,10,3693,Butter,26
67,Retailer,Jinja,96862041,1,8609,Flavored Milk,126
68,Wholesaler,Mbale,77309308,19,4700,Cream,193
69,Retailer,Mbarara,9659710,2,1299,Cheese,175
70,Retailer,Jinja,15772967,13,3033,Cheese,132
71,Retailer,Mbale,77043074,16,4625,Flavored Milk,191
72,Retailer,Mbale,76812021,8,7497,Cheese,57
73,Wholesaler,Jinja,70810837,3,9181,Flavored Milk,58
74,Retailer,Mbarara,52326233,19,4159,Cream,178
75,Wholesaler,Mbale,80247979,14,4073,Yogurt,31
76,Retailer,Jinja,47738747,11,8019,Flavored Milk,194
77,Retailer,Mbarara,10288486,12,639,Yogurt,28
78,Retailer,Jinja,40877155,11,1832,Cream,122
79,Wholesaler,Jinja,69035604,11,4618,Milk,110
80,Retailer,Mbale,54700725,18,9449,Cheese,139
81,Wholesaler,Mbarara,70706799,10,4462,Cream,42
82,Retailer,Mbale,46043737,16,9088,Milk,196
83,Wholesaler,Kampala,34925566,8,4730,Cheese,98
84,Retailer,Kampala,34318947,6,9040,Cream,143
85,Wholesaler,Mbarara,90736087,19,520,Cream,20
86,Wholesaler,Jinja,27271871,13,4877,Powder Milk,36
87,Retailer,Mbale,30434344,15,5117,Powder Milk,182
88,Wholesaler,Mbale,81859865,13,3044,Powder Milk,40
89,Retailer,Mbarara,66607316,1,3179,Milk,100
90,Retailer,Mbarara,37754321,2,6217,Cream,181
91,Retailer,Kampala,74713742,13,1363,Powder Milk,178
92,Retailer,Gulu,33243358,2,6596,Flavored Milk,56
93,Retailer,Mbarara,41274203,11,9289,Powder Milk,88
94,Retailer,Gulu,33725383,13,9329,Milk,11
95,Retailer,Mbarara,83130076,10,7984,Cream,152
96,Retailer,Jinja,85517524,15,5408,Cheese,29
97,Retailer,Jinja,85016888,1,332,Butter,140
98,Retailer,Kampala,37703728,14,7659,Cheese,115
99,Retailer,Kampala,34798329,10,1448,Butter,48
100,Wholesaler,Gulu,60777723,18,2783,Flavored Milk,83
101,Wholesaler,Mbarara,34235633,11,4117,Cream,99
102,Retailer,Mbale,61050915,7,2407,Cheese,147
103,Retailer,Kampala,98827580,15,3288,Milk,177
104,Retailer,Mbale,6707806,3,8039,Flavored Milk,150
105,Retailer,Mbale,49598574,2,7260,Cheese,53
106,Retailer,Mbarara,24191841,8,837,Flavored Milk,41
107,Retailer,Gulu,92696385,8,8284,Cream,39
108,Retailer,Mbarara,27365378,11,5834,Cream,138
109,Retailer,Kampala,19833479,16,4693,Butter,62
