Year,Factory_Name,Product,Unity,Month,Quantity
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Received milk volume,Lts,Jan,540661
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Pasteurized milk 3.0% mg,Lts,Jan,0
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Pasteurized milk 2.5% mg,Lts,Jan,0
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Skimmed pasteurized milk,Lts,Jan,0
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Sterilized whole milk,Lts,Jan,0
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Sterilized semi-skimmed milk,Lts,Jan,0
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Sterilized skimmed milk,Lts,Jan,0
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Flavored sterilized milk,Lts,Jan,0
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Powdered milk 28% mg,Kg,Jan,0
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Powdered milk 26% mg,Kg,Jan,50525
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Powdered milk 18% mg,Kg,Jan,8350
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Powdered milk 20% mg,Kg,Jan,58875
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Powdered milk 12% mg,Kg,Jan,0
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Skimmed powdered milk,Kg,Jan,0
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Total powdered milk,Kg,Jan,58875
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Yogurt,Lts,Jan,54732
2002,ALIMENTOS PUERTO VARAS - Puerto Varas (Los Lagos),Cultured milk,Lts,Jan,0
