invoice_no,wholesaler_id,age,gender,Product,quantity,price,payment_method,invoice_date,shopping_mall
I138884,C241288,28,Female,chocolate milk,5,1500.4,Credit Card,05/08/2022,Kanyon
I317333,C111565,21,Male,Pasteurized milk 3.0% mg,3,1800.51,Debit Card,12/12/2021,Forum Istanbul
I127801,C266599,20,Male,Pasteurized milk 2.5% mg,1,300.08,Cash,09/11/2021,Metrocity
I173702,C988172,66,Female,Skimmed pasteurized milk,5,3000.85,Credit Card,16/05/2021,Metropol AVM
I337046,C189076,53,Female,Sterilized whole milk,4,60.6,Cash,24/10/2021,Kanyon
I227836,C657758,28,Female,Sterilized semi-skimmed milk,5,1500.4,Credit Card,24/05/2022,Forum Istanbul
I121056,C151197,49,Female,Sterilized skimmed milk,1,40.66,Cash,13/03/2022,Istinye Park
I293112,C176086,32,Female,Flavored sterilized milk,2,600.16,Credit Card,13/01/2021,Mall of Istanbul
I293455,C159642,69,Male,Powdered milk 28% mg,3,900.24,Credit Card,04/11/2021,Metrocity
I326945,C283361,60,Female,Powdered milk 26% mg,2,600.16,Credit Card,22/08/2021,Kanyon
I306368,C240286,36,Female,Powdered milk 18% mg,2,10.46,Cash,25/12/2022,Metrocity
I139207,C191708,29,Female,Powdered milk 20% mg,1,15.15,Credit Card,28/10/2022,Emaar Square Mall
I640508,C225330,67,Female,Powdered milk 12% mg,4,143.36,Debit Card,31/07/2022,Metrocity
I179802,C312861,25,Male,Skimmed powdered milk,2,600.16,Cash,17/11/2022,Cevahir AVM
I336189,C555402,67,Female,Total powdered milk,2,600.16,Credit Card,03/06/2022,Kanyon
I688768,C362288,24,Male,Yogurt,5,3000.85,Credit Card,07/11/2021,Viaport Outlet
I294687,C300786,65,Male,Cultured milk,2,30.3,Debit Card,16/01/2021,Metrocity
I195744,C330667,42,Female,Small cheese,3,15.69,Credit Card,05/01/2022,Zorlu Center
I993048,C218149,46,Female,Cheese,2,600.16,Cash,26/07/2021,Metropol AVM
I992454,C196845,24,Male,Cream,4,143.36,Cash,07/03/2023,Cevahir AVM
I183746,C220180,23,Male,Butter,1,300.08,Credit Card,15/02/2023,Emaar Square Mall
I412481,C125696,27,Female,Powdered whey,1,5.23,Cash,01/05/2021,Cevahir AVM
I823067,C322947,52,Male,Condensed milk,2,600.16,Credit Card,18/06/2022,Cevahir AVM
I252275,C313348,44,Male,Sweetened condensed milk,5,5250,Cash,26/10/2021,Kanyon
