Product_decoded,Middle Age Average Income Spenders,Middle Age Savers,Middle Age Spenders,Older Spenders,Young Savers
Butter,0,291,99,81,112
Cheese,0,283,97,83,120
Condensed milk,0,289,91,86,114
Cream,0,291,82,81,129
Cultured milk,0,306,86,80,110
Evaporated milk,0,295,95,76,113
Flavored sterilized milk,0,293,84,90,112
Modified milk,0,286,108,79,107
Pasteurized milk 2.5% mg,0,278,106,81,114
Pasteurized milk 3.0% mg,0,281,101,93,104
Powdered milk 12% mg,0,292,85,74,128
Powdered milk 18% mg,0,282,93,91,113
Powdered milk 20% mg,64,221,73,83,138
Powdered milk 26% mg,224,49,112,87,107
Powdered milk 28% mg,271,0,86,104,118
Powdered whey,283,0,90,95,112
Received milk volume,306,0,76,90,107
Skimmed pasteurized milk,304,0,102,70,103
Skimmed powdered milk,295,0,94,100,90
Small cheese,326,0,84,80,92
Sterilized semi-skimmed milk,287,0,93,96,103
Sterilized skimmed milk,306,0,82,99,92
Sterilized whole milk,282,0,85,104,108
Sweetened condensed milk,304,0,97,95,84
Total powdered milk,287,0,92,93,107
Yogurt,291,0,98,109,84
