invoice_date,Product,shopping_mall,daily_demand
2023-01-07,Butter,Cevahir AVM,0.0
2023-01-07,Butter,Emaar Square Mall,0.0
2023-01-07,Butter,Forum Istanbul,0.0
2023-01-07,Butter,Istinye Park,0.0
2023-01-07,Butter,Kanyon,8.0
2023-01-07,Butter,Mall of Istanbul,4.0
2023-01-07,Butter,Metrocity,6.0
2023-01-07,Butter,Metropol AVM,0.0
2023-01-07,Butter,Viaport Outlet,0.0
2023-01-07,Butter,Zorlu Center,0.0
2023-01-07,Cheese,Cevahir AVM,4.0
2023-01-07,Cheese,Emaar Square Mall,0.0
2023-01-07,Cheese,Forum Istanbul,0.0
2023-01-07,Cheese,Istinye Park,0.0
2023-01-07,Cheese,Kanyon,2.0
2023-01-07,Cheese,Mall of Istanbul,5.0
2023-01-07,Cheese,Metrocity,5.0
2023-01-07,Cheese,Metropol AVM,0.0
2023-01-07,Cheese,Viaport Outlet,0.0
2023-01-07,Cheese,Zorlu Center,0.0
2023-01-07,Condensed milk,Cevahir AVM,0.0
2023-01-07,Condensed milk,Emaar Square Mall,3.0
2023-01-07,Condensed milk,Forum Istanbul,0.0
2023-01-07,Condensed milk,Istinye Park,0.0
2023-01-07,Condensed milk,Kanyon,0.0
2023-01-07,Condensed milk,Mall of Istanbul,0.0
2023-01-07,Condensed milk,Metrocity,0.0
2023-01-07,Condensed milk,Metropol AVM,4.0
2023-01-07,Condensed milk,Viaport Outlet,0.0
2023-01-07,Condensed milk,Zorlu Center,0.0
2023-01-07,Cream,Cevahir AVM,0.0
2023-01-07,Cream,Emaar Square Mall,2.0
2023-01-07,Cream,Forum Istanbul,0.0
2023-01-07,Cream,Istinye Park,0.0
2023-01-07,Cream,Kanyon,5.0
2023-01-07,Cream,Mall of Istanbul,6.0
2023-01-07,Cream,Metrocity,0.0
2023-01-07,Cream,Metropol AVM,2.0
2023-01-07,Cream,Viaport Outlet,3.0
2023-01-07,Cream,Zorlu Center,3.0
2023-01-07,Cultured milk,Cevahir AVM,0.0
2023-01-07,Cultured milk,Emaar Square Mall,0.0
2023-01-07,Cultured milk,Forum Istanbul,0.0
2023-01-07,Cultured milk,Istinye Park,0.0
2023-01-07,Cultured milk,Kanyon,10.0
2023-01-07,Cultured milk,Mall of Istanbul,8.0
2023-01-07,Cultured milk,Metrocity,2.0
2023-01-07,Cultured milk,Metropol AVM,4.0
2023-01-07,Cultured milk,Viaport Outlet,3.0
2023-01-07,Cultured milk,Zorlu Center,0.0
2023-01-07,Evaporated milk,Cevahir AVM,0.0
2023-01-07,Evaporated milk,Emaar Square Mall,5.0
2023-01-07,Evaporated milk,Forum Istanbul,4.0
2023-01-07,Evaporated milk,Istinye Park,0.0
2023-01-07,Evaporated milk,Kanyon,4.0
2023-01-07,Evaporated milk,Mall of Istanbul,0.0
2023-01-07,Evaporated milk,Metrocity,4.0
2023-01-07,Evaporated milk,Metropol AVM,2.0
2023-01-07,Evaporated milk,Viaport Outlet,0.0
2023-01-07,Evaporated milk,Zorlu Center,5.0
2023-01-07,Flavored sterilized milk,Cevahir AVM,0.0
2023-01-07,Flavored sterilized milk,Emaar Square Mall,0.0
2023-01-07,Flavored sterilized milk,Forum Istanbul,0.0
2023-01-07,Flavored sterilized milk,Istinye Park,0.0
