invoice_date,Product,daily_demand
2023-01-07,Butter,0.0
2023-01-07,Cheese,0.0
2023-01-07,Condensed milk,3.0
2023-01-07,Cream,0.0
2023-01-07,Cultured milk,0.0
2023-01-07,Evaporated milk,0.0
2023-01-07,Flavored sterilized milk,0.0
2023-01-07,Modified milk,0.0
2023-01-07,Pasteurized milk 2.5% mg,0.0
2023-01-07,Pasteurized milk 3.0% mg,0.0
2023-01-07,Powdered milk 12% mg,0.0
2023-01-07,Powdered milk 18% mg,0.0
2023-01-07,Powdered milk 20% mg,0.0
2023-01-07,Powdered milk 26% mg,0.0
2023-01-07,Powdered milk 28% mg,0.0
2023-01-07,Powdered whey,0.0
2023-01-07,Skimmed pasteurized milk,0.0
2023-01-07,Skimmed powdered milk,0.0
2023-01-07,Small cheese,0.0
2023-01-07,Sterilized semi-skimmed milk,0.0
2023-01-07,Sterilized skimmed milk,0.0
2023-01-07,Sterilized whole milk,1.0
2023-01-07,Sweetened condensed milk,0.0
2023-01-07,Total powdered milk,0.0
2023-01-07,Yogurt,4.0
2023-01-07,chocolate milk,0.0
2023-01-08,Butter,0.0
2023-01-08,Cheese,0.0
2023-01-08,Condensed milk,0.0
2023-01-08,Cream,0.0
2023-01-08,Cultured milk,0.0
2023-01-08,Evaporated milk,0.0
2023-01-08,Flavored sterilized milk,0.0
2023-01-08,Modified milk,0.0
2023-01-08,Pasteurized milk 2.5% mg,0.0
2023-01-08,Pasteurized milk 3.0% mg,0.0
2023-01-08,Powdered milk 12% mg,0.0
2023-01-08,Powdered milk 18% mg,0.0
2023-01-08,Powdered milk 20% mg,0.0
2023-01-08,Powdered milk 26% mg,0.0
2023-01-08,Powdered milk 28% mg,0.0
2023-01-08,Powdered whey,0.0
2023-01-08,Skimmed pasteurized milk,0.0
2023-01-08,Skimmed powdered milk,0.0
2023-01-08,Small cheese,0.0
2023-01-08,Sterilized semi-skimmed milk,0.0
2023-01-08,Sterilized skimmed milk,0.0
2023-01-08,Sterilized whole milk,0.0
2023-01-08,Sweetened condensed milk,0.0
2023-01-08,Total powdered milk,0.0
2023-01-08,Yogurt,0.0
2023-01-08,chocolate milk,0.0
2023-01-09,Butter,0.0
2023-01-09,Cheese,0.0
2023-01-09,Condensed milk,0.0
2023-01-09,Cream,0.0
2023-01-09,Cultured milk,0.0
2023-01-09,Evaporated milk,0.0
2023-01-09,Flavored sterilized milk,0.0
2023-01-09,Modified milk,0.0
2023-01-09,Pasteurized milk 2.5% mg,2.0
2023-01-09,Pasteurized milk 3.0% mg,0.0
2023-01-09,Powdered milk 12% mg,0.0
